iter	Logloss
0	0.6287838571
1	0.5769317589
2	0.537347822
3	0.5056519769
4	0.4804883928
5	0.461292153
6	0.4458052365
7	0.4329944487
8	0.4225221653
9	0.4148473502
10	0.4068438592
11	0.4000918213
12	0.3948835923
13	0.3898251899
14	0.3858818272
15	0.3812807899
16	0.3784251
17	0.3755400027
18	0.3718272157
19	0.3683514998
20	0.3652990778
21	0.3626583109
22	0.3596643334
23	0.357925192
24	0.3556360226
25	0.3532804375
26	0.3517768253
27	0.3505016536
28	0.3490942201
29	0.3467899104
30	0.3454758635
31	0.3443551491
32	0.34333235
33	0.3419544566
34	0.3409905054
35	0.339858634
36	0.3392507259
37	0.3387647244
38	0.3378023698
39	0.3372894069
40	0.3368067765
41	0.3360013037
42	0.3350804599
43	0.3342212468
44	0.3337452234
45	0.3330588222
46	0.3325147771
47	0.3318936837
48	0.3312606906
49	0.3308033682
50	0.3300944656
51	0.3297905092
52	0.3293332389
53	0.3289430936
54	0.3287857516
55	0.3281898285
56	0.3277888559
57	0.3273718274
58	0.3268755396
59	0.326507566
60	0.326221115
61	0.3256804765
62	0.325330599
63	0.3249757729
64	0.3245608202
65	0.3242711048
66	0.3239902667
67	0.3236298205
68	0.3233469754
69	0.3230576491
70	0.3227482174
71	0.3224685726
72	0.3220795636
73	0.3219722254
74	0.3214676368
75	0.3211773498
76	0.3208924289
77	0.3206236612
78	0.3201760463
79	0.3198759378
80	0.3194874223
81	0.3191734997
82	0.3188455235
83	0.3181438517
84	0.3178717058
85	0.3176320299
86	0.3172789711
87	0.3169310698
88	0.3166878259
89	0.3162917806
90	0.3158983378
91	0.3156722197
92	0.3153426706
93	0.3150775278
94	0.3148057141
95	0.314525246
96	0.3141977728
97	0.3134320696
98	0.3129830289
99	0.3126553232
100	0.3122606965
101	0.3120462242
102	0.3118003304
103	0.3115248775
104	0.3112130568
105	0.3107431991
106	0.3105470031
107	0.3104207551
108	0.3101299224
109	0.3098384634
110	0.30983142
111	0.3091194547
112	0.308961828
113	0.3086066175
114	0.3081338251
115	0.3074977434
116	0.307375367
117	0.3070125604
118	0.306660664
119	0.3062459177
120	0.3058869922
121	0.3056133446
122	0.3053542417
123	0.3050094932
124	0.304689749
125	0.3043901648
126	0.3039766402
127	0.3036527491
128	0.3032398319
129	0.3029825889
130	0.3025570224
131	0.3022085944
132	0.3018615661
133	0.3014869619
134	0.3011653815
135	0.3005816094
136	0.3002091284
137	0.299778535
138	0.2994072663
139	0.299185703
140	0.2989416858
141	0.2986139563
142	0.2984340487
143	0.2981673687
144	0.2979679036
145	0.2976660207
146	0.2972040746
147	0.2969392046
148	0.2966056819
149	0.296234603
150	0.2958972205
151	0.2956023809
152	0.2952950084
153	0.2947626802
154	0.2944166127
155	0.2942107163
156	0.2939321912
157	0.2934949196
158	0.293164462
159	0.2927856493
160	0.2926298848
161	0.2922275434
162	0.2919088051
163	0.2915403736
164	0.2910941632
165	0.2908180317
166	0.2904316964
167	0.2899833413
168	0.2895781863
169	0.289293237
170	0.2890397779
171	0.2886974325
172	0.2883447059
173	0.2882011447
174	0.2878943154
175	0.2875919983
176	0.2873345797
177	0.2869327175
178	0.2865989339
179	0.2864139092
180	0.2862073746
181	0.2859375702
182	0.2856688499
183	0.2853699656
184	0.2849350047
185	0.2845608227
186	0.2841948348
187	0.2837660419
188	0.28342642
189	0.2831673836
190	0.2827629877
191	0.2824092979
192	0.2820230598
193	0.2816807903
194	0.2813877917
195	0.2811656544
196	0.2808366225
197	0.2804331756
198	0.2801436524
199	0.2799682641
